FIPS,State,County,Year,Premature death (Years of Potential Life Lost) - Deaths,Premature death (Years of Potential Life Lost) - YPLL Rate,Premature death (Years of Potential Life Lost) - 95% CI - Low,Premature death (Years of Potential Life Lost) - 95% CI - High,Premature death (Years of Potential Life Lost) - Z-Score,Poor or Fair Health - % Fair/Poor,Poor or Fair Health - 95% CI - Low,Poor or Fair Health - 95% CI - High,Poor or Fair Health - Z-Score,Poor physical health days - Physically Unhealthy Days,Poor physical health days -  95% CI - Low,Poor physical health days - 95% CI - High,Poor physical health days - Z-Score,Adult smoking - % Smokers,Adult smoking - 95% CI - Low,Adult smoking - 95% CI - High,Adult smoking - Z-Score,Adult obesity - % Obese,Adult obesity - 95% CI - Low,Adult obesity - 95% CI - High,Adult obesity - Z-Score,Uninsured adults - # Uninsured,Uninsured adults - % Uninsured,Uninsured adults - 95% CI - Low,Uninsured adults - 95% CI - High,Uninsured adults - Z-Score,PCP No,PCP Rate,PCP Ratio,PCP Z-Score,Preventable hospital stays - No of Medicare enrollees,Preventable hospital stays - ACSC Rate,Preventable hospital stays - 95% CI - Low,Preventable hospital stays - 95% CI - High,Preventable hospital stays - Z-Score,Mammography screening - Mammography Rate,Mammography screening - 95% CI - Low,Mammography screening - 95% CI - High,Mammography screening - Z-Score,Unemployment - # Unemployed,Unemployment - Labor Force,Unemployment - % unemployed,Unemployment - Z-Score,Children in poverty - # Children in Poverty,Children in poverty - % Children in Poverty,Children in poverty - 95% CI - Low,Children in poverty - 95% CI - High,Children in poverty - Z-Score,Income inequality - 80th Percentile Income,Income inequality - 20th Percentile Income,Income inequality - Income Ratio,Income inequality - Z-Score,Daily fine particulate matter - Average daily PM25,Daily fine particulate matter - Z-Score,Drinking water safety - Presence of violation,Drinking water safety - Z-Score,Severe housing problems - # Household with Severe Problems,Severe housing problems - % Severe Housing Problems,Severe housing problems - 95% CI - Low,Severe housing problems - 95% CI - High,Severe housing problems - Z-Score
6041,California,Marin,2016,1863,3622,3332,3911,-1.59,11,10,11,-1.42,3.1,3,3.2,-1.7,11,10,11,-1.58,18,15,21,-1.68,24063,12,11,13,-1.96,373,144,693:1,-2.45,29180,27,25,29,-1.23,65,62,68,-0.77,5980,140051,4.3,-1.41,5357,10,8,12,-1.66,197952,35112,5.6,1.5,7.5,-1.17,Yes,0.48,25130,24,23,25,-0.09
6043,California,Mariposa,2016,238,7495,5805,9185,0.68,13,13,14,-0.83,3.6,3.5,3.8,-0.59,13,12,13,-0.34,23,18,30,-0.2,2092,16,14,17,-0.85,5,28,3551:1,1.44,3378,35,28,42,-0.53,59,49,68,0.31,715,8128,8.8,-0.02,726,25,18,32,0.37,101953,19884,5.1,0.6,10.1,1.17,Yes,0.48,1335,18,14,23,-1.72
6045,California,Mendocino,2016,1144,7596,6906,8287,0.74,17,17,18,0.31,4.2,4.1,4.4,0.74,15,15,16,0.96,23,19,28,-0.26,15604,22,20,24,1.09,83,95,1051:1,-0.8,13960,31,28,34,-0.88,59,54,63,0.31,2838,41067,6.9,-0.6,4924,26,20,33,0.53,85236,17390,4.9,0.2,7.3,-1.38,Yes,0.48,9570,28,26,30,0.89
6047,California,Merced,2016,2333,6724,6384,7063,0.23,23,22,24,1.74,4.7,4.6,4.8,1.85,16,15,16,1.3,29,24,35,1.44,48769,21,19,23,0.78,129,49,2041:1,0.74,22664,51,48,53,0.84,61,58,64,-0.05,14771,115386,12.8,1.2,28341,36,32,40,1.84,87230,19029,4.6,-0.36,9.1,0.25,Yes,0.48,20200,27,26,29,0.66
6049,California,Modoc,2016,165,10229,7545,12913,2.28,16,16,17,0.06,4.2,4,4.3,0.74,14,14,15,0.62,25,19,32,0.13,1598,23,21,25,1.38,5,55,1829:1,0.55,1679,50,39,61,0.8,56,44,68,0.84,353,3365,10.5,0.49,544,31,23,40,1.22,79274,18297,4.3,-0.81,10,1.1,No,-2.03,750,19,14,24,-1.5
6051,California,Mono,2016,77,3725,2939,4655,-1.53,14,14,14,-0.59,3.6,3.4,3.7,-0.59,14,13,14,0.17,22,16,29,-0.54,2885,23,21,26,1.53,7,50,2011:1,0.72,1085,33,21,45,-0.69,70,54,87,-1.67,589,8161,7.2,-0.51,440,16,12,21,-0.83,100187,32990,3,-3,11,2.05,Yes,0.48,1325,26,20,33,0.41
6053,California,Monterey,2016,2975,5044,4809,5280,-0.76,20,19,21,0.96,4.1,4,4.2,0.52,14,13,14,0.17,24,20,28,-0.12,88415,24,23,26,1.8,265,62,1618:1,0.31,45353,34,32,35,-0.64,63,60,65,-0.41,19920,219814,9.1,0.06,28122,25,22,28,0.39,114702,26298,4.4,-0.76,7.2,-1.42,Yes,0.48,38440,31,30,32,1.64
6055,California,Napa,2016,1203,4729,4323,5135,-0.94,14,14,15,-0.52,3.5,3.4,3.6,-0.81,11,11,12,-1.19,24,20,29,0.05,20081,18,16,19,-0.24,143,102,981:1,-1.03,13329,38,35,42,-0.23,64,59,69,-0.59,4129,74041,5.6,-1.01,3660,12,9,15,-1.4,135622,30476,4.5,-0.6,7.6,-1.12,Yes,0.48,12265,25,23,27,0.06
6057,California,Nevada,2016,1048,6140,5480,6800,-0.12,12,11,12,-1.22,3.4,3.2,3.5,-1.03,12,11,12,-0.9,20,16,24,-1.15,13143,17,16,19,-0.31,74,75,1327:1,-0.14,16224,35,32,38,-0.49,69,65,74,-1.49,3153,47906,6.6,-0.7,3043,18,13,22,-0.64,110651,25388,4.4,-0.76,9.6,0.73,No,-2.03,9875,24,22,26,-0.27
6059,California,Orange,2016,20563,4153,4075,4232,-1.28,13,12,13,-0.93,3.4,3.3,3.5,-1.03,11,11,11,-1.24,20,18,21,-1.21,506359,19,18,20,0.12,2971,95,1048:1,-0.81,195543,35,34,35,-0.57,64,63,65,-0.59,86442,1575606,5.5,-1.04,126952,18,16,19,-0.6,148925,31454,4.7,-0.1,7.6,-1.05,No,-2.03,284145,29,28,29,1.09
