FIPS,State,County,Year,Adult smoking - Sample Size,Adult smoking - % Smokers,Adult smoking - 95% CI - Low,Adult smoking - 95% CI - High,Adult smoking - Z-Score,Income inequality - 80th Percentile Income,Income inequality - 20th Percentile Income,Income inequality - Income Ratio,Income inequality - Z-Score,Daily fine particulate matter - Average daily PM25,Daily fine particulate matter - Z-Score,Drinking water safety - % pop in viol,Drinking water safety - Pop. In Viol,Drinking water safety - Z-Score
6093,California,Siskiyou,2015,267,24,17,33,1.96,76440,16114,4.7,0.02,8.7,-0.05,1811,6,-0.03
6095,California,Solano,2015,878,14,10,17,-0.33,123958,29120,4.3,-0.9,8.1,-0.62,0,0,-0.63
6097,California,Sonoma,2015,1786,14,12,17,-0.22,122039,27263,4.5,-0.49,7.2,-1.46,1974,0,-0.58
6099,California,Stanislaus,2015,1275,17,14,20,0.47,97637,20635,4.7,-0.01,9.2,0.34,128648,28,1.98
6101,California,Sutter,2015,237,19,12,29,0.83,100241,21572,4.6,-0.17,8.1,-0.63,1039,1,-0.5
6103,California,Tehama,2015,266,21,15,30,1.36,80197,19160,4.2,-1.04,8.9,0.15,8878,26,1.75
6105,California,Trinity,2015,82,23,14,37,1.87,80109,17158,4.7,-0.12,8.7,-0.06,335,5,-0.21
6107,California,Tulare,2015,1139,15,12,18,-0.1,87318,18628,4.7,-0.09,10.3,1.4,33030,9,0.17
6109,California,Tuolumne,2015,288,19,13,27,0.92,91142,20625,4.4,-0.6,10.1,1.23,81,0,-0.61
6111,California,Ventura,2015,2019,12,10,14,-0.64,143707,32601,4.4,-0.62,7.7,-1.01,183,0,-0.62
6113,California,Yolo,2015,584,8,6,12,-1.53,117206,21544,5.4,1.33,7.9,-0.77,671,0,-0.6
6115,California,Yuba,2015,253,17,12,24,0.5,83061,20467,4.1,-1.28,8.7,-0.07,5232,8,0.15
