FIPS,State,County,Year,Premature death (Years of Potential Life Lost) - Deaths,Premature death (Years of Potential Life Lost) - YPLL Rate,Premature death (Years of Potential Life Lost) - 95% CI - Low,Premature death (Years of Potential Life Lost) - 95% CI - High,Premature death (Years of Potential Life Lost) - Z-Score,Poor or Fair Health - Sample Size,Poor or Fair Health - % Fair/Poor,Poor or Fair Health - 95% CI - Low,Poor or Fair Health - 95% CI - High,Poor or Fair Health - Z-Score,Poor physical health days - Sample Size,Poor physical health days - Physically Unhealthy Days,Poor physical health days -  95% CI - Low,Poor physical health days - 95% CI - High,Poor physical health days - Z-Score,Adult smoking - Sample Size,Adult smoking - % Smokers,Adult smoking - 95% CI - Low,Adult smoking - 95% CI - High,Adult smoking - Z-Score,Adult obesity - % Obese,Adult obesity - 95% CI - Low,Adult obesity - 95% CI - High,Adult obesity - Z-Score,Uninsured adults - # Uninsured,Uninsured adults - % Uninsured,Uninsured adults - 95% CI - Low,Uninsured adults - 95% CI - High,Uninsured adults - Z-Score,PCP No,PCP Rate,PCP Ratio,Preventable hospital stays - No of Medicare enrollees,Preventable hospital stays - ACSC Rate,Preventable hospital stays - 95% CI - Low,Preventable hospital stays - 95% CI - High,Preventable hospital stays - Z-Score,Mammography screening - Mammography Rate,Mammography screening - 95% CI - Low,Mammography screening - 95% CI - High,Mammography screening - Z-Score,Unemployment - # Unemployed,Unemployment - Labor Force,Unemployment - % unemployed,Unemployment - Z-Score,Children in poverty - # Children in Poverty,Children in poverty - % Children in Poverty,Children in poverty - 95% CI - Low,Children in poverty - 95% CI - High,Children in poverty - Z-Score,Air pollution-particulate matter days - PM Days,Air pollution-particulate matter days - Z-Score,Air pollution-ozone days - Ozone Days,Air pollution-ozone days - Z-Score
6083,California,Santa Barbara,2012,3111,5444,5195,5693,-0.85,985,22,18,26,0.75,975,3.6,3,4.3,-0.31,952,11,8,14,-0.79,20,17,23,-1.3,67463,20,18,21,0.18,400,99,1009:1,39090,36,34,38,-1.17,69.4,66,72,-0.96,20625,220463,9.4,-1.22,20762,22,18,26,-0.1,0,-0.8,5,-0.63
6085,California,Santa Clara,2012,10610,4052,3951,4153,-1.69,3380,15,13,17,-0.45,3360,3.1,2.7,3.5,-0.92,3307,10,8,11,-1.08,21,20,23,-0.92,219104,14,13,15,-1.44,2274,130,772:1,102935,40,38,41,-0.91,65.7,63,67,-0.23,97428,874345,11.1,-0.78,56661,13,12,15,-1.3,7,-0.16,12,-0.41
6087,California,Santa Cruz,2012,1942,5293,4981,5606,-0.94,676,17,13,22,-0.12,670,3.1,2.4,3.7,-0.92,664,10,7,13,-1.12,20,17,23,-1.33,40480,18,17,20,-0.22,274,108,923:1,22218,44,41,46,-0.6,68.3,64,72,-0.75,18849,147848,12.7,-0.35,10308,19,15,23,-0.48,0,-0.8,0,-0.79
6089,California,Shasta,2012,2639,8781,8308,9253,1.17,645,12,10,16,-0.88,643,3.8,3.1,4.5,-0.07,629,24,20,30,2.4,28,24,32,0.94,26528,18,16,19,-0.33,140,78,1289:1,24914,44,41,46,-0.6,63.9,60,67,0.11,13422,83887,16,0.52,9769,25,20,31,0.43,3,-0.53,10,-0.48
6091,California,Sierra,2012,,,,,,,,,,,,,,,,,,,,,24,18,31,,467,18,16,20,,,,,537,59,37,80,,,,,,251,1593,15.8,,103,19,14,24,,0,,0,
6093,California,Siskiyou,2012,677,9061,8045,10077,1.33,209,19,12,29,0.33,208,4.3,2.9,5.7,0.55,206,21,14,31,1.55,25,21,31,0.2,6714,19,17,21,0.03,37,83,1204:1,7688,50,45,55,-0.15,64.7,58,71,-0.05,3344,18971,17.6,0.94,2795,31,23,38,1.19,1,-0.71,0,-0.79
6095,California,Solano,2012,4031,6845,6569,7120,0,734,16,13,21,-0.2,731,4,3.1,4.9,0.18,717,14,11,18,-0.06,27,24,31,0.64,51536,15,13,16,-1.24,337,83,1206:1,22371,44,42,47,-0.54,48.9,45,53,2.97,25864,214954,12,-0.54,17893,18,15,21,-0.64,24,1.37,9,-0.51
6097,California,Sonoma,2012,4096,5327,5100,5555,-0.92,1453,14,11,17,-0.62,1446,3.8,3.2,4.4,-0.07,1420,15,13,19,0.27,23,20,26,-0.48,64511,16,15,17,-0.79,501,107,931:1,37258,37,35,39,-1.1,68.9,65,72,-0.85,26630,254195,10.5,-0.93,15489,15,12,18,-1.08,4,-0.44,0,-0.79
6099,California,Stanislaus,2012,5130,7371,7120,7622,0.31,1202,23,20,27,0.92,1198,4,3.4,4.6,0.18,1171,17,14,20,0.55,31,27,34,1.6,90325,20,19,21,0.38,382,75,1328:1,27190,74,70,77,1.64,62.1,58,65,0.45,41346,237400,17.4,0.88,40861,28,25,31,0.83,33,2.19,25,0
6101,California,Sutter,2012,922,6724,6163,7286,-0.08,198,25,17,34,1.23,196,3.8,2.5,5,-0.07,,,,,0,27,22,32,0.5,17066,22,20,23,0.74,85,92,1084:1,9698,68,63,74,1.24,64.2,58,69,0.05,8325,42103,19.8,1.52,6056,24,18,29,0.16,6,-0.26,25,0
6103,California,Tehama,2012,815,8680,7859,9502,1.1,228,28,20,37,1.73,227,6.2,4.2,8.2,2.87,222,19,13,28,1.17,25,21,31,0.17,10491,21,19,23,0.52,24,39,2548:1,9852,47,42,51,-0.37,63.9,58,69,0.1,3973,25116,15.8,0.46,4916,31,24,38,1.25,4,-0.44,34,0.28
6105,California,Trinity,2012,244,10546,8388,12704,2.23,,,,,0,61,5.7,2.7,8.8,2.26,,,,,0,24,18,30,-0.29,1936,19,17,21,0.03,6,43,2336:1,2141,66,55,77,1.06,56.5,45,67,1.53,951,5073,18.7,1.23,766,31,22,40,1.28,19,0.92,0,-0.79
6107,California,Tulare,2012,4185,8082,7789,8376,0.74,947,27,23,30,1.56,938,5.1,4.3,6,1.52,918,19,15,24,1.1,31,27,35,1.79,89238,24,22,25,1.31,226,54,1869:1,33004,74,71,77,1.63,63.8,60,66,0.13,34960,207727,16.8,0.73,47902,34,30,37,1.6,12,0.29,104,2.5
6109,California,Tuolumne,2012,736,7521,6684,8359,0.4,244,14,9,21,-0.55,243,3.9,2.7,5.1,0.06,237,22,15,30,1.71,23,19,28,-0.43,7426,17,15,19,-0.48,45,81,1236:1,9513,32,29,36,-1.44,69.4,63,75,-0.96,3583,25615,14,-0.01,2011,22,16,27,-0.13,0,-0.8,6,-0.6
6111,California,Ventura,2012,5947,5290,5113,5468,-0.94,1733,14,12,17,-0.55,1727,3.6,3,4.1,-0.31,1681,14,12,16,-0.11,23,21,26,-0.37,126443,18,17,19,-0.22,682,86,1165:1,65264,46,44,48,-0.43,66.5,64,68,-0.4,46607,430924,10.8,-0.85,31691,15,13,18,-1.01,0,-0.8,39,0.44
6113,California,Yolo,2012,1386,5268,4918,5618,-0.96,487,14,10,19,-0.58,483,3.8,2.9,4.8,-0.07,480,7,5,11,-1.62,26,22,31,0.45,28444,16,15,18,-0.79,270,137,728:1,9071,32,28,36,-1.46,66.7,60,73,-0.44,12707,98039,13,-0.27,8530,19,15,22,-0.5,11,0.2,15,-0.32
6115,California,Yuba,2012,888,9212,8472,9951,1.43,206,22,16,30,0.82,206,3.6,2.6,4.7,-0.31,203,14,9,20,-0.16,31,26,37,1.79,12380,19,17,21,0.06,19,26,3835:1,6146,82,74,89,2.24,57.4,50,64,1.34,5387,28143,19.1,1.33,5847,28,21,35,0.83,5,-0.35,1,-0.76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"*Recently, we detected an error in our estimates of Primary Care Physicians.  The number of General Practice Physicians was double counted.  As a result, the estimate of Primary Care Physicians was incorrect.  We have corrected the errors.   The correct estimates of the rate of Primary Care Physicians are available on our website and in the downloadable data files.  The specific county Rankings for 2010 - 2012 will not be recalculated based on the updated data.  The old data that the Rankings are based on is included in all Data Files.  You can find all data files at: http://www.countyhealthrankings.org/rankings/ranking-methods/download-rankings-data",,,,,,,,,,,,,,,,,,,,,,,,
