FIPS,State,County,Year,Premature death (Years of Potential Life Lost) - Deaths,Premature death (Years of Potential Life Lost) - YPLL Rate,Premature death (Years of Potential Life Lost) - 95% CI - Low,Premature death (Years of Potential Life Lost) - 95% CI - High,Premature death (Years of Potential Life Lost) - Z-Score,Poor or Fair Health - Sample Size,Poor or Fair Health - % Fair/Poor,Poor or Fair Health - 95% CI - Low,Poor or Fair Health - 95% CI - High,Poor or Fair Health - Z-Score,Poor physical health days - Sample Size,Poor physical health days - Physically Unhealthy Days,Poor physical health days -  95% CI - Low,Poor physical health days - 95% CI - High,Poor physical health days - Z-Score,Adult smoking - Sample Size,Adult smoking - % Smokers,Adult smoking - 95% CI - Low,Adult smoking - 95% CI - High,Adult smoking - Z-Score,Adult obesity - % Obese,Adult obesity - 95% CI - Low,Adult obesity - 95% CI - High,Adult obesity - Z-Score,Uninsured adults - # Uninsured,Uninsured adults - % Uninsured,Uninsured adults - 95% CI - Low,Uninsured adults - 95% CI - High,Uninsured adults - Z-Score,PCP No,PCP Rate,PCP Ratio,PCP Z-Score,Preventable hospital stays - No of Medicare enrollees,Preventable hospital stays - ACSC Rate,Preventable hospital stays - 95% CI - Low,Preventable hospital stays - 95% CI - High,Preventable hospital stays - Z-Score,Mammography screening - Mammography Rate,Mammography screening - 95% CI - Low,Mammography screening - 95% CI - High,Mammography screening - Z-Score,Unemployment - # Unemployed,Unemployment - Labor Force,Unemployment - % unemployed,Unemployment - Z-Score,Children in poverty - # Children in Poverty,Children in poverty - % Children in Poverty,Children in poverty - 95% CI - Low,Children in poverty - 95% CI - High,Children in poverty - Z-Score,Income inequality - 80th Percentile Income,Income inequality - 20th Percentile Income,Income inequality - Income Ratio,Income inequality - Z-Score,Daily fine particulate matter - Average daily PM25,Daily fine particulate matter - Z-Score,Drinking water safety - % pop in viol,Drinking water safety - Pop. In Viol,Drinking water safety - Z-Score,Severe housing problems - # Household with Severe Problems,Severe housing problems - % Severe Housing Problems,Severe housing problems - 95% CI - Low,Severe housing problems - 95% CI - High,Severe housing problems - Z-Score
6075,California,San Francisco,2015,6659,5002,4828,5175,-0.8,1959,16,14,19,-0.34,1953,3.1,2.8,3.5,-1.11,1914,10,8,12,-1.22,15,13,17,-2.54,94423,13,12,14,-1.68,1320,160,626:1,-3.08,59848,40,39,42,-0.39,62.1,59.6,64.6,-0.23,27864,487205,5.7,-1.36,15760,14,11,17,-1.22,163423,23910,6.8,3.97,8,-0.73,0,0,-0.63,90480,27,26,27,0.55
6077,California,San Joaquin,2015,6968,7018,6806,7231,0.4,1596,22,19,25,0.74,1583,3.8,3.3,4.3,-0.15,1563,16,14,19,0.32,30,27,34,1.9,120724,20,18,21,0.21,426,61,1649:1,0.31,44383,52,50,54,0.64,59.3,56.8,61.9,0.23,38365,298768,12.8,0.75,51577,26,24,29,0.4,106307,22543,4.7,-0.04,8.9,0.1,160020,25,1.64,61490,29,28,30,1.16
6079,California,San Luis Obispo,2015,2475,5516,5180,5853,-0.5,1042,12,9,15,-1.26,1038,3.1,2.5,3.6,-1.11,1020,9,7,12,-1.3,20,17,24,-1.02,36190,17,15,18,-0.61,220,80,1249:1,-0.36,37401,29,27,31,-1.38,68.2,65.3,71.2,-1.23,9381,141056,6.7,-1.08,7997,16,12,20,-0.99,114831,24629,4.7,-0.14,7.5,-1.2,16005,6,-0.03,25475,25,24,26,0.06
6081,California,San Mateo,2015,4921,3824,3669,3980,-1.51,1784,12,10,14,-1.19,1778,3,2.6,3.4,-1.25,1722,11,8,13,-0.99,21,18,23,-0.91,82376,13,12,14,-1.8,721,98,1025:1,-0.95,52556,29,27,30,-1.38,66.6,64,69.2,-0.96,21782,403567,5.4,-1.45,15889,10,8,12,-1.81,177984,39041,4.6,-0.33,8,-0.7,78671,11,0.37,63830,25,24,26,0.03
6083,California,Santa Barbara,2015,3078,4986,4750,5222,-0.81,1253,21,18,25,0.54,1240,3.7,3.1,4.3,-0.29,1220,11,8,13,-0.99,19,17,23,-1.32,75357,21,20,22,0.69,334,77,1291:1,-0.27,45811,30,29,32,-1.23,67.8,65.1,70.6,-1.16,15282,224024,6.8,-1.03,20049,21,18,24,-0.34,127219,25815,4.9,0.37,7.2,-1.41,17413,4,-0.26,41055,29,28,30,1.19
6085,California,Santa Clara,2015,10888,3757,3661,3852,-1.55,4084,14,12,15,-0.9,4066,2.9,2.6,3.2,-1.38,4011,10,9,12,-1.04,20,19,22,-1.02,215463,13,13,14,-1.69,1903,104,966:1,-1.16,118839,32,31,33,-1.1,62.9,61.3,64.6,-0.36,63153,923245,6.8,-1.03,55624,13,11,14,-1.42,178235,36273,4.9,0.34,8.3,-0.46,40118,2,-0.43,145790,24,24,25,-0.13
6087,California,Santa Cruz,2015,2074,5066,4759,5372,-0.77,853,17,13,21,-0.26,846,3.4,2.8,4,-0.7,838,10,8,14,-1.08,22,18,25,-0.7,41226,18,17,20,-0.14,258,97,1034:1,-0.92,28850,35,32,37,-0.88,70.6,67.1,74.1,-1.61,14374,151691,9.5,-0.25,10223,19,15,23,-0.61,133236,25635,5.2,0.87,7.7,-1,5768,2,-0.41,26100,28,27,29,0.86
6089,California,Shasta,2015,2773,8990,8475,9505,1.58,793,16,13,20,-0.46,790,4.1,3.3,4.9,0.26,777,25,21,30,2.25,27,24,31,0.99,27568,19,17,21,0.05,138,77,1294:1,-0.26,27088,43,40,45,-0.17,65,61.6,68.4,-0.69,8844,80917,10.9,0.18,10702,28,23,33,0.66,87732,19199,4.6,-0.31,9.6,0.74,268,0,-0.61,16070,23,22,25,-0.44
6091,California,Sierra,2015,50,10260,7615,13526,2.34,,,,,0,,,,,0,,,,,0,23,17,30,-0.18,483,21,18,23,0.57,1,32,3086:1,1.27,873,38,24,52,-0.59,59.2,41.3,77,0.26,186,1429,13,0.8,100,20,15,26,-0.41,84179,15475,5.4,1.33,10.2,1.32,193,7,0.02,245,18,10,27,-1.8
6093,California,Siskiyou,2015,693,8761,7669,9852,1.45,270,20,13,28,0.26,268,4.6,3.1,6.1,0.94,267,24,17,33,1.96,22,17,27,-0.64,6550,19,17,21,0.02,31,70,1424:1,-0.02,8807,42,38,47,-0.21,61.5,55.9,67.1,-0.12,2395,18367,13,0.8,2445,28,21,35,0.62,76440,16114,4.7,0.02,8.7,-0.05,1811,6,-0.03,4850,25,22,27,-0.07
