FIPS,State,County,Year,Premature Death - Deaths,Premature Death - Aggregate Population,Premature Death - YPLL Rate,Premature Death -  95% CI - Low,Premature Death -  95% CI - High,Premature Death - Z-Score,Poor or Fair Health - Sample Size,Poor or Fair Health - % Fair/Poor,Poor or Fair Health - 95% CI - Low,Poor or Fair Health - 95% CI - High,Poor or Fair Health - Z-Score,Poor physical health days - Sample Size,Poor physical health days - Physically Unhealthy Days,Poor physical health days -  95% CI - Low,Poor physical health days - 95% CI - High,Poor physical health days - Z-Score,Adult smoking - Sample Size,Adult smoking - % Smokers,Adult smoking - 95% CI - Low,Adult smoking - 95% CI - High,Adult smoking - Z-Score,Adult obesity - % Obese,Adult obesity - 95% CI - Low,Adult obesity - 95% CI - High,Adult obesity - Z-Score,Uninsured adults - % Uninsured,Uninsured adults - 95% CI - Low,Uninsured adults - 95% CI - High,Uninsured adults - Z-Score,PCP No,PCP Rate,Preventable hospital stays - No of Medicare enrollees,Preventable hospital stays - ACSC Rate,Preventable hospital stays - 95% CI - Low,Preventable hospital stays - 95% CI - High,Preventable hospital stays - Z-Score,Hospice use - % Hospice Use,Hospice use - 95% CI - Low,Hospice use - 95% CI - High,Hospice use - Z-Score,Unemployment - % unemployed,Unemployment - 95% CI - Low,Unemployment - 95% CI - High,Unemployment - Z-Score,Children in poverty - % Children in Poverty,Children in poverty - 95% CI - Low,Children in poverty - 95% CI - High,Children in poverty - Z-Score,Income inequality - GINI,Income inequality - Z-Score,Air pollution-particulate matter days - PM Days,Air pollution-particulate matter days - Z-Score,Air pollution-ozone days - Ozone Days,Air pollution-ozone days - Z-Score
6049,California,Modoc,2010,149,25535,9576,7193,12497,1.47,22,,,,0,21,,,,0,22,,,,0,22,15,32,-0.28,22,19,24,0.69,4,43,3594,46,38,53,-1.14,,,,0,10,9,11,0.38,30,24,36,1.88,48,1.55,0,-0.76,0,-0.64
6051,California,Mono,2010,94,37459,6281,4636,8319,-0.49,37,,,,0,37,,,,0,37,,,,0,22,15,31,-0.34,29,26,32,2.85,9,70,1523,31,21,41,-2.32,,,,0,6,6,7,-0.85,12,10,15,-0.86,43,-0.68,0,-0.76,0,-0.64
6053,California,Monterey,2010,2933,1166019,5595,5348,5843,-0.9,527,23,19,29,1.15,522,3.4,2.6,4.2,-0.46,526,14,10,19,-0.26,22,17,27,-0.46,24,21,26,1.28,301,74,72259,55,53,57,-0.38,34,32,38,1.04,9,8,9,-0.02,17,15,19,-0.18,44,0.01,2,-0.57,0,-0.64
6055,California,Napa,2010,1198,362392,5764,5302,6225,-0.8,217,13,7,23,-0.58,217,3.5,2,4.9,-0.4,217,8,5,13,-1.82,21,16,27,-0.77,21,19,23,0.58,137,105,23567,51,48,54,-0.7,35,31,41,1.18,5,5,5,-1.15,11,9,14,-1.01,46,0.62,3,-0.48,0,-0.64
6057,California,Nevada,2010,964,264478,6222,5588,6856,-0.53,235,11,6,19,-0.96,232,2.8,1.6,4,-1.08,235,12,8,18,-0.73,21,15,27,-0.86,19,17,22,0.08,96,99,27499,56,53,59,-0.26,30,26,35,0.5,7,6,7,-0.65,12,10,14,-0.96,42,-1,0,-0.76,42,0.82
6059,California,Orange,2010,19851,8495332,4701,4616,4786,-1.43,3462,15,13,16,-0.3,3443,3,2.8,3.3,-0.84,3464,14,12,15,-0.27,19,17,21,-1.47,22,20,23,0.69,3233,109,339495,57,56,57,-0.24,36,34,38,1.24,5,5,5,-1.08,12,11,13,-0.9,46,0.54,13,0.42,7,-0.4
6061,California,Placer,2010,2667,879068,5240,4958,5521,-1.11,542,8,5,11,-1.52,542,3.3,2.5,4,-0.61,542,13,9,18,-0.45,18,14,22,-1.74,13,11,14,-1.9,357,113,45804,47,45,49,-1.05,25,22,29,-0.2,7,6,7,-0.68,7,6,9,-1.66,42,-0.88,7,-0.12,42,0.82
6063,California,Plumas,2010,300,57389,6903,5678,8128,-0.12,58,2,0,11,-2.41,57,4.7,1,8.3,0.83,58,,,,0,26,19,36,0.82,19,17,21,0.02,19,91,7690,76,70,83,1.4,10,6,17,-2.11,11,10,11,0.68,17,13,20,-0.22,42,-1.04,4,-0.39,0,-0.64
6065,California,Riverside,2010,18362,5444887,7177,7048,7307,0.04,2451,17,15,20,0.15,2439,3.7,3.3,4.1,-0.13,2450,16,14,18,0.21,25,21,28,0.36,27,25,28,2.24,947,49,204132,65,64,67,0.5,40,38,42,1.78,9,9,9,0.02,16,15,17,-0.33,44,-0.15,38,2.69,105,3.01
6067,California,Sacramento,2010,13569,3866693,7287,7132,7441,0.11,1888,13,11,15,-0.58,1878,3.5,3.1,3.9,-0.33,1887,16,14,19,0.41,25,22,28,0.51,16,15,18,-0.85,1293,95,130664,58,57,60,-0.08,21,19,23,-0.68,7,7,7,-0.45,18,16,19,-0.04,42,-0.76,19,0.97,33,0.51
6069,California,San Benito,2010,354,158481,4832,4211,5454,-1.36,63,16,8,27,-0.15,63,2,0.7,3.2,-1.93,63,5,1,16,-2.61,23,16,32,-0.13,18,16,20,-0.3,22,40,8710,71,65,77,0.95,21,15,30,-0.64,10,9,10,0.35,12,10,15,-0.89,40,-1.65,3,-0.48,2,-0.57
6071,California,San Bernardino,2010,18923,5629892,7828,7695,7962,0.43,2381,19,17,21,0.42,2376,4,3.6,4.4,0.14,2383,17,15,19,0.6,27,24,30,1.15,23,22,25,1.19,1224,63,139010,83,81,84,1.9,35,33,38,1.14,8,8,8,-0.18,17,15,18,-0.22,42,-1.08,31,2.05,110,3.19
6073,California,San Diego,2010,23456,8328022,5739,5646,5831,-0.82,3841,15,13,17,-0.26,3812,3.3,3,3.6,-0.56,3838,14,13,16,-0.1,22,20,25,-0.34,22,20,23,0.72,2776,94,330495,54,53,55,-0.45,47,45,48,2.6,6,6,6,-0.85,15,14,16,-0.47,45,0.3,6,-0.21,24,0.19
6075,California,San Francisco,2010,7252,2089053,6215,6019,6410,-0.53,991,13,10,15,-0.65,986,3,2.6,3.5,-0.84,990,15,12,20,0.12,16,13,19,-2.2,18,17,20,-0.24,1791,230,114799,54,53,56,-0.41,16,14,18,-1.35,5,5,5,-1.08,13,11,14,-0.81,51,2.65,7,-0.12,0,-0.64
